MR,Ref
"food[Chinese], familyfriendly[no], name[The Wrestlers], eattype[coffee shop], pricerange[less than £20], period[.], area[city centre], near[Raja Indian Cuisine], period[.]","Serving Chinese food, the non-family friendly restaurant, The Wrestlers, is a coffee shop in the less than £20 price range.  It is in city centre near Raja Indian Cuisine."
"eattype[coffee shop], name[The Wrestlers], food[Chinese], near[Raja Indian Cuisine], area[city centre], period[.]",There is a mid-price ranged coffee shop  called The Wrestlers that serves Chinese food located near Raja Indian Cuisine in the city center.
"pricerange[less than £20], food[Chinese], familyfriendly[no], eattype[coffee shop], name[The Wrestlers], area[city centre], near[Raja Indian Cuisine], period[.]","in the less than £20 price range and serving Chinese food, the non-family friendly coffee shop, The Wrestlers is in city centre near Raja Indian Cuisine."
"name[The Wrestlers], eattype[coffee shop], area[city centre], near[Raja Indian Cuisine], period[.], familyfriendly[no], food[Chinese], pricerange[less than £20], period[.]","The Wrestlers is a unique coffee shop in the city centre, near the Raja Indian Cuisine restaurant. They are not family friendly and serve amazing Chinese food that is priced less than £20."
"name[The Wrestlers], eattype[coffee shop], food[Chinese], area[city centre], near[Raja Indian Cuisine], period[.], familyfriendly[yes], pricerange[less than £20], period[.]",The Wrestlers is a coffee shop which serves Chinese food is located in the center of the city near the Raja Indian Cuisine. It serves Chinese food and is considered family friendly with a price range of less than £20.
"name[The Wrestlers], area[city centre], near[Raja Indian Cuisine], period[.], eattype[coffee shop], food[Chinese], period[.]",The Wrestlers is located in the city centre near Raja Indian Cuisine. It is a coffee shop that serves Chinese food for under £20.
"name[The Wrestlers], eattype[coffee shop], food[Chinese], pricerange[less than £20], period[.], area[city centre], near[Raja Indian Cuisine], familyfriendly[yes], period[.]",The Wrestlers is a coffee shop which serves Chinese food with a price range of less than £20.  It is located in the center of the city near the Raja Indian Cuisine and is family friendly.
"name[The Wrestlers], eattype[coffee shop], food[Chinese], pricerange[less than £20], period[.], area[city centre], near[Raja Indian Cuisine], period[.]",The Wrestlers is a coffee shop providing Chinese food in the less than £20 price range. It is located in the city centre. It is near Raja Indian Cuisine.
"name[The Wrestlers], familyfriendly[yes], eattype[coffee shop], food[Chinese], pricerange[less than £20], period[.], area[city centre], near[Raja Indian Cuisine], period[.]",The Wrestlers is a family friendly coffee shop serving Chinese food for less than £20. It is located in the city centre near Raja Indian Cuisine.
"name[The Wrestlers], familyfriendly[yes], eattype[coffee shop], area[city centre], near[Raja Indian Cuisine], period[.], food[Chinese], pricerange[less than £20], period[.]",The Wrestlers is a family friendly coffee shop located in the city centre near Raja Indian Cuisine.  It serves Chinese food with a price range get of less than £20.
"food[Chinese], eattype[coffee shop], pricerange[less than £20], near[Raja Indian Cuisine], area[riverside], familyfriendly[no], period[.], name[The Wrestlers], period[.]","There's a Chinese and coffee shop that's less than £20, near Raja Indian Cuisine along the riverside that's not really family friendly. It's called The Wrestlers."
"name[The Wrestlers], eattype[coffee shop], food[Chinese], area[riverside], near[Raja Indian Cuisine], period[.], pricerange[less than £20], familyfriendly[no], period[.]",The Wrestlers coffee shop and Chinese is along the riverside near Raja Indian Cuisine. It's generally less than £20 but isn't family friendly.
"eattype[coffee shop], area[riverside], near[Raja Indian Cuisine], name[The Wrestlers], period[.], familyfriendly[no], food[Chinese], pricerange[less than £20], period[.]","There is a coffee shop in Riverside, near Raja Indian Cuisine called The Wrestlers. It is not family friendly and serves Chinese food for less than £20."
"name[The Wrestlers], familyfriendly[no], eattype[coffee shop], area[riverside], near[Raja Indian Cuisine], period[.], food[Chinese], period[.]","The Wrestlers is a non family friendly coffee shop in Riverside , near Raja Indian Cuisine. It serves Chinese food for less"
"name[The Wrestlers], eattype[coffee shop], food[Chinese], pricerange[less than £20], period[.], area[riverside], near[Raja Indian Cuisine], period[.]",The Wrestlers is a coffee shop providing Chinese food in the less than £20 price range. It is located in the riverside. It is near Raja Indian Cuisine.
"eattype[coffee shop], food[Chinese], area[riverside], near[Raja Indian Cuisine], name[The Wrestlers], pricerange[less than £20], familyfriendly[yes], period[.]",There's this coffee shop that serves Chinese food in the riverside area near Raja Indian Cuisine called The Wrestlers that costs less than £20 and is family friendly.
"area[riverside], near[Raja Indian Cuisine], name[The Wrestlers], period[.], familyfriendly[yes], pricerange[less than £20], eattype[coffee shop], food[Chinese], period[.]","Located on the riverside, near Raja Indian Cuisine, is The Wrestlers. It is a family-friendly, low-priced coffee shop which also serves Chinese food."
"pricerange[less than £20], eattype[coffee shop], area[riverside], name[The Wrestlers], period[.], familyfriendly[yes], food[Chinese], near[Raja Indian Cuisine], period[.]","If you want a low-priced coffee shop on the riverside, then try The Wrestlers. This family-friendly coffee shop also serves Chinese food and it is located near Raja Indian Cuisine"
"area[riverside], familyfriendly[yes], eattype[coffee shop], food[Chinese], pricerange[less than £20], near[Raja Indian Cuisine], name[The Wrestlers], period[.]","In the riverside area, there is a family friendly coffee shop that sells Chinese food for less than £20 near Raja Indian Cuisine called The Wrestlers."
"name[The Wrestlers], eattype[coffee shop], food[Chinese], near[Raja Indian Cuisine], area[riverside], period[.], pricerange[less than £20], period[.]","The Wrestlers, a coffee shop with Chinese food is near Raja Indian Cuisine riverside.  Their prices are less than £20."
"name[The Wrestlers], eattype[coffee shop], food[Chinese], period[.], familyfriendly[yes], area[riverside], near[Raja Indian Cuisine], period[.]",The Wrestlers is a coffee shop with Chinese food.  They are family friendly and have decent prices.  They are near the riverside by Raja Indian Cuisine.
"name[The Wrestlers], eattype[coffee shop], food[Chinese], pricerange[less than £20], area[riverside], near[Raja Indian Cuisine], period[.]","The Wrestlers, a coffee shop that also serves Chinese food less than £20, is located in the riverside, near Raja Indian Cuisine."
"near[Raja Indian Cuisine], area[city centre], pricerange[moderate], food[Chinese], name[The Wrestlers], period[.], eattype[coffee shop], familyfriendly[no], period[.]","Near Raja Indian Cuisine in city centre,  enjoy a moderately priced Chinese lunch and coffee at The Wrestlers.  This coffee shop does not cater to children."
"pricerange[moderate], familyfriendly[no], food[Chinese], eattype[coffee shop], name[The Wrestlers], area[city centre], near[Raja Indian Cuisine], period[.]","Moderately priced adult-only Chinese coffee shop, The Wrestlers, can be found in the city centre near to Raja Indian Cuisine."
"name[The Wrestlers], pricerange[moderate], eattype[coffee shop], area[city centre], near[Raja Indian Cuisine], period[.], food[Chinese], familyfriendly[no], period[.]","The Wrestlers is a moderately priced coffee shop in the city centre, near Raja Indian Cuisine. It serves Chinese food and does not welcome children."
"name[The Wrestlers], pricerange[moderate], eattype[coffee shop], area[city centre], period[.], food[Chinese], familyfriendly[no], near[Raja Indian Cuisine], period[.]",The Wrestlers is a moderately priced coffee shop located in the city centre. It provides Chinese food. It is not kids friendly and is located near Raja Indian Cuisine.
"name[The Wrestlers], eattype[coffee shop], food[Chinese], pricerange[moderate], period[.], area[city centre], near[Raja Indian Cuisine], familyfriendly[no], period[.]",The Wrestlers is a coffee shop that provides Chinese food in the moderate price range. It is located in the city centre near Raja Indian Cuisine. It is not kids friendly.
"name[The Wrestlers], eattype[coffee shop], near[Raja Indian Cuisine], period[.], pricerange[moderate], food[Chinese], familyfriendly[no], period[.]",The Wrestlers is a coffee shop near Raja Indian Cuisine in the city city. It is moderately priced and serves Chinese food. Children are not welcome.
"name[The Wrestlers], familyfriendly[no], eattype[coffee shop], pricerange[moderate], food[Chinese], area[city centre], near[Raja Indian Cuisine], period[.]","The Wrestlers is a non kid friendly coffee shop and moderately priced Chinese establishment located in city centre, near Raja Indian Cuisine."
"name[The Wrestlers], pricerange[moderate], familyfriendly[yes], food[Chinese], eattype[coffee shop], area[city centre], near[Raja Indian Cuisine], period[.]",The Wrestlers is a moderately priced kid friendly Chinese coffee shop in they city centre near Raja Indian Cuisine.
"name[The Wrestlers], pricerange[moderate], eattype[coffee shop], food[Chinese], period[.], area[city centre], near[Raja Indian Cuisine], familyfriendly[yes], period[.]",The Wrestlers is a moderately priced coffee shop providing Chinese food. It's in the city centre near to Raja Indian Cuisine and is kid friendly
"name[The Wrestlers], familyfriendly[yes], food[Chinese], eattype[coffee shop], pricerange[moderate], area[city centre], near[Raja Indian Cuisine], period[.]",The Wrestlers is a children friendly Chinese coffee shop with a moderate price range located in the city centre near Raja Indian Cuisine.
"name[The Wrestlers], food[Chinese], eattype[coffee shop], area[city centre], near[Raja Indian Cuisine], period[.], pricerange[moderate], familyfriendly[yes], period[.]",The Wrestlers is a Chinese coffee shop in city centre near Raja Indian Cuisine.  They offer moderate prices and a kid friendly atmosphere.
"familyfriendly[yes], name[The Wrestlers], eattype[coffee shop], pricerange[moderate], food[Chinese], area[city centre], near[Raja Indian Cuisine], period[.]","Kids are welcome at The Wrestlers coffee shop, serving moderately priced Chinese food in the centre of town, near the Raja Indian Cuisine."
"name[The Wrestlers], eattype[coffee shop], familyfriendly[yes], food[Chinese], pricerange[moderate], period[.], near[Raja Indian Cuisine], period[.]",The Wrestlers coffee shop offers Kid Friendly Chinese cuisine at a moderate price. Located near the Raja Indian Cuisine.
"name[The Wrestlers], pricerange[moderate], eattype[coffee shop], food[Chinese], period[.], near[Raja Indian Cuisine], area[city centre], familyfriendly[yes], period[.]",The Wrestlers is a moderately priced coffee shop serving Chinese food. It's near Raja Indian Cuisine in the city centre and is kid friendly
"name[The Wrestlers], pricerange[moderate], food[Chinese], eattype[coffee shop], near[Raja Indian Cuisine], area[riverside], period[.], familyfriendly[no], period[.]",The Wrestlers is a moderate Chinese coffee shop near Raja Indian Cuisine in the river side. It is no kids friendly.
"name[The Wrestlers], eattype[coffee shop], food[Chinese], period[.], pricerange[moderate], area[riverside], familyfriendly[no], near[Raja Indian Cuisine], period[.]",The Wrestlers is a coffee shop which offers Chinese food. It has a moderate price range. It is in a riverside area. It is not kids friendly and it is near Raja Indian Cuisine.
"name[The Wrestlers], eattype[coffee shop], food[Chinese], pricerange[moderate], period[.], near[Raja Indian Cuisine], area[riverside], familyfriendly[no], period[.]",The Wrestlers is a coffee shop serving Chinese food with a moderate price. It is located near Raja Indian Cuisine along the riverside and is not kids friendly.
"familyfriendly[no], name[The Wrestlers], food[Chinese], eattype[coffee shop], area[riverside], near[Raja Indian Cuisine], pricerange[moderate], period[.]","No kids in The Wrestlers, it is a Chinese coffee shop, on the riverside near the Raja Indian Cuisine, fairly moderate prices."
"name[The Wrestlers], food[Chinese], eattype[coffee shop], near[Raja Indian Cuisine], area[riverside], period[.], pricerange[moderate], familyfriendly[no], period[.]","The Wrestlers is a Chinese coffee shop near Raja Indian Cuisine in the river side. Price is moderate, no kids friendly."
"eattype[coffee shop], name[The Wrestlers], food[Chinese], area[riverside], near[Raja Indian Cuisine], period[.], familyfriendly[no], pricerange[moderate], period[.]","There is a coffee shop, The Wrestlers, serving Chinese food along the riverside near Raja Indian Cuisine. It is not kids friendly and is moderately priced."
"name[The Wrestlers], food[Chinese], eattype[coffee shop], pricerange[moderate], area[riverside], near[Raja Indian Cuisine], familyfriendly[no], period[.]","The Wrestlers is a Chinese coffee shop that has a moderate price range, located near the riverside near the Raja Indian Cuisine, my advice no children."
"name[The Wrestlers], eattype[coffee shop], food[Chinese], pricerange[moderate], period[.], area[riverside], near[Raja Indian Cuisine], period[.]",The Wrestlers is a coffee shop providing Chinese food in the moderate price range. It is located in the riverside. It is near Raja Indian Cuisine.
"area[riverside], near[Raja Indian Cuisine], familyfriendly[yes], pricerange[moderate], eattype[coffee shop], name[The Wrestlers], food[Chinese], period[.]",In the Riverside area near Raja Indian Cuisine there is a kid friendly moderately priced coffee shop named The Wrestlers serving Chinese food
"food[Chinese], area[riverside], pricerange[moderate], eattype[coffee shop], familyfriendly[yes], name[The Wrestlers], near[Raja Indian Cuisine], period[.]",For Chinese food in riverside there is a moderately priced coffee shop that is kid friendly named The Wrestlers near Raja Indian Cuisine.
"name[The Wrestlers], eattype[coffee shop], food[Chinese], pricerange[moderate], period[.], area[riverside], near[Raja Indian Cuisine], period[.]",The Wrestlers is a coffee shop providing Chinese food in the moderate price range. It is located in the riverside. It is near Raja Indian Cuisine.
"name[The Wrestlers], eattype[coffee shop], area[riverside], food[Chinese], period[.], familyfriendly[yes], pricerange[moderate], near[Raja Indian Cuisine], period[.]",The Wrestlers coffee shop in the riverside area serves coffee and Chinese food. It is kid friendly and moderately priced. Located near Raja Indian Cuisine.
"name[The Wrestlers], eattype[coffee shop], food[Chinese], familyfriendly[yes], period[.], area[riverside], near[Raja Indian Cuisine], pricerange[more than £30], period[.]",The Wrestlers coffee shop has Chinese food and is family friendly. It is located in the riverside area near Raja Indian Cuisine with a high price range.
"name[The Wrestlers], eattype[coffee shop], area[riverside], near[Raja Indian Cuisine], food[Chinese], familyfriendly[yes], period[.]","The Wrestlers is a coffee shop in Riverside located near the Raja Indian Cuisine, where they serve Chinese food, it's average price for a meal is more than 30 euros and it's a children friendly facility."
"name[The Wrestlers], eattype[coffee shop], food[Chinese], familyfriendly[yes], period[.], area[riverside], near[Raja Indian Cuisine], pricerange[more than £30], period[.]",The Wrestlers coffee shop has Chinese food and is kids friendly. It is located in the riverside area near Raja Indian Cuisine with a high price range.
"area[riverside], familyfriendly[yes], eattype[coffee shop], food[Chinese], name[The Wrestlers], pricerange[more than £30], period[.], near[Raja Indian Cuisine], period[.]","If you're in the riverside area with your children and are looking for a coffee shop that serves Chinese food, The Wrestlers is a good option, though you can expect to spend more than £30. It is located near Raja Indian Cuisine."
"area[riverside], near[Raja Indian Cuisine], familyfriendly[yes], eattype[coffee shop], food[Chinese], name[The Wrestlers], period[.], pricerange[more than £30], period[.]","Situated in the riverside area, near Raja Indian Cuisine, you'll find a child-friendly coffee shop with Chinese food on the menu called The Wrestlers. The prices tend to be more than £30."
"food[Chinese], period[.], name[The Wrestlers], familyfriendly[yes], area[riverside], near[Raja Indian Cuisine], period[.]",The is a restaurant that had a price for over 30 euros per meal. It's called The Wrestlers and it's children friendly. Its located in Riverside near the Raja Indian Cuisine.
"eattype[coffee shop], name[The Wrestlers], near[Raja Indian Cuisine], period[.], food[Chinese], pricerange[more than £30], familyfriendly[yes], area[riverside], period[.]",There is a coffee shop The Wrestlers located near Raja Indian Cuisine. They offer Chinese food in the price range of more than £30. They are children friendly and located riverside.
"name[The Wrestlers], familyfriendly[yes], eattype[coffee shop], area[riverside], near[Raja Indian Cuisine], period[.], food[English], period[.]",The Wrestlers is a kid friendly coffee shop located along the riverside near Raja Indian Cuisine. It serves English food for £20 - £25.
"familyfriendly[yes], food[English], eattype[coffee shop], area[riverside], near[Raja Indian Cuisine], name[The Wrestlers], period[.]",A kid friendly English coffee shop located in riverside near Raja Indian Cuisine that is moderately priced is called The Wrestlers.
"name[The Wrestlers], familyfriendly[yes], eattype[coffee shop], food[English], period[.], area[riverside], near[Raja Indian Cuisine], period[.]",The Wrestlers is a kids friendly coffee shop that serves English food for £20 - £25. It is along the riverside near Raja Indian Cuisine.
"name[The Wrestlers], familyfriendly[yes], food[English], eattype[coffee shop], area[riverside], near[Raja Indian Cuisine], period[.]",The Wrestlers is a kid friendly English coffee shop located in riverside near Raja Indian Cuisine that is moderately priced.
"food[English], area[riverside], name[The Wrestlers], period[.], familyfriendly[yes], eattype[coffee shop], near[Raja Indian Cuisine], period[.]",Serving English food on the riverside in The Wrestlers. A kid friendly coffee shop in the price range £20 - £25. The Wrestlers is located near Raja Indian Cuisine.
"pricerange[cheap], familyfriendly[yes], eattype[coffee shop], area[riverside], name[The Wrestlers], food[English], near[Raja Indian Cuisine], period[.]","There is a cheap  family friendly coffee shop on riverside called The Wrestlers, They serve English food, and are located near Raja Indian Cuisine."
"area[riverside], food[English], name[The Wrestlers], familyfriendly[yes], eattype[coffee shop], pricerange[cheap], period[.], near[Raja Indian Cuisine], period[.]",Come visit riverside and eat some English food at The Wrestlers family friendly coffee shop for a cheap price. Found near Raja Indian Cuisine.
"name[The Wrestlers], pricerange[cheap], eattype[coffee shop], area[riverside], near[Raja Indian Cuisine], food[English], familyfriendly[yes], period[.]","The Wrestlers is a cheap coffee shop located in riverside near Raja Indian Cuisine, they serve English food and our family friendly."
"name[The Wrestlers], familyfriendly[yes], eattype[coffee shop], food[English], pricerange[cheap], period[.], area[riverside], near[Raja Indian Cuisine], period[.]",The Wrestlers is a family friendly coffee shop  which offer English food for a cheap price. Located in riverside near Raja Indian Cuisine.
"near[Raja Indian Cuisine], area[riverside], pricerange[cheap], familyfriendly[yes], food[English], eattype[coffee shop], name[The Wrestlers], period[.]",Near the Raja Indian Cuisine in riverside is a cheap family friendly English coffee shop called The Wrestlers.
"name[The Wrestlers], area[riverside], near[Raja Indian Cuisine], period[.], eattype[coffee shop], pricerange[cheap], food[English], familyfriendly[yes], period[.]",The Wrestlers is in the riverside area near Raja Indian Cuisine. It is a coffee shop serving cheap English food and is great for families.
"name[The Wrestlers], eattype[coffee shop], area[riverside], near[Raja Indian Cuisine], food[English], familyfriendly[yes], pricerange[cheap], period[.]",The Wrestlers is a coffee shop located at riverside near Raja Indian Cuisine serves English food and a Family friendly place that a  cheap price range of food.
"name[The Wrestlers], familyfriendly[yes], eattype[coffee shop], period[.], pricerange[cheap], food[English], near[Raja Indian Cuisine], area[riverside], period[.]",The Wrestlers is a family friendly coffee shop. It serves low price range English food. It is located near Raja Indian Cuisine in the riverside area.
"name[The Wrestlers], pricerange[cheap], familyfriendly[yes], food[English], eattype[coffee shop], area[riverside], near[Raja Indian Cuisine], period[.]",The Wrestlers is a cheap family friendly English coffee shop in the riverside area near the Raja Indian Cuisine.
"name[The Wrestlers], eattype[coffee shop], area[city centre], pricerange[high], period[.], food[English], near[Raja Indian Cuisine], period[.]","The Wrestlers is a coffee shop type restaurant located in the city centre with a high price, with a bad kids friendly atmosphere. It offers English food and is located near Raja Indian Cuisine."
"name[The Wrestlers], eattype[coffee shop], area[city centre], pricerange[high], period[.], food[English], near[Raja Indian Cuisine], period[.]","The Wrestlers is a coffee shop type restaurant located in the city centre with a high price, with a bad kids friendly atmosphere. It offers English food and is located near Raja Indian Cuisine."
"name[The Wrestlers], eattype[coffee shop], area[city centre], near[Raja Indian Cuisine], period[.], pricerange[high], food[English], familyfriendly[no], period[.]",The Wrestlers is a coffee shop located in the city centre near Raja Indian Cuisine. It serves high-priced English food in a non kid-friendly environment.
"name[The Wrestlers], food[English], eattype[coffee shop], area[city centre], period[.], near[Raja Indian Cuisine], pricerange[high], familyfriendly[no], period[.]","The Wrestlers is an English coffee shop that is located in the city centre. It is near Raja Indian Cuisine. It has a high price range, and it is not family-friendly."
"name[The Wrestlers], pricerange[high], eattype[coffee shop], food[English], familyfriendly[no], period[.], area[city centre], near[Raja Indian Cuisine], period[.]",The Wrestlers is a high-priced coffee shop that serves English cuisine in an adult environment. It is located in the city centre near Raja Indian Cuisine.
"area[city centre], near[Raja Indian Cuisine], eattype[coffee shop], name[The Wrestlers], period[.], pricerange[high], familyfriendly[no], period[.]","In the city centre, near Raja Indian Cuisine, there is a coffee shop called The Wrestlers. It has high prices, and it is not children friendly."
"name[The Wrestlers], familyfriendly[yes], eattype[coffee shop], food[English], pricerange[high], near[Raja Indian Cuisine], area[city centre], period[.]",The Wrestlers is children friendly coffee shop that serves English food with a high price range near Raja Indian Cuisine  around city centre.
"name[The Wrestlers], pricerange[high], eattype[coffee shop], period[.], area[city centre], near[Raja Indian Cuisine], food[English], familyfriendly[yes], period[.]","The Wrestlers is a high price range coffee shop.  It's in the centre of the city, near Raja Indian Cuisine. It serves English food and is children Friendly."
"near[Raja Indian Cuisine], area[city centre], eattype[coffee shop], pricerange[high], familyfriendly[yes], food[English], name[The Wrestlers], period[.]","Near Raja Indian Cuisine  around city centre there is a coffee shop that is high price range, children friendly, serves English food called The Wrestlers."
"area[city centre], near[Raja Indian Cuisine], food[English], eattype[coffee shop], name[The Wrestlers], period[.], pricerange[high], familyfriendly[yes], period[.]",In the city centre near Raja Indian Cuisine there is an English coffee shop called The Wrestlers. It is expensive and children friendly.
"name[The Wrestlers], eattype[coffee shop], pricerange[high], food[English], period[.], area[city centre], near[Raja Indian Cuisine], familyfriendly[yes], period[.]",The Wrestlers is a coffee shop serving expensive English food. It is in the city centre near Raja Indian Cuisine and is children friendly.
"name[The Wrestlers], familyfriendly[yes], food[English], period[.], near[Raja Indian Cuisine], area[city centre], pricerange[high], period[.]",The Wrestlers is children friendly and serves English food.  It is near Raja Indian Cuisine in the city centre. It's a coffee house with a high price range.
"food[English], eattype[coffee shop], name[The Wrestlers], near[Raja Indian Cuisine], period[.], familyfriendly[no], period[.]","The English coffee shop, 'The Wrestlers', is a highly priced place near Raja Indian Cuisine. The food has more of an adult taste to it."
"area[riverside], near[Raja Indian Cuisine], eattype[coffee shop], name[The Wrestlers], food[English], familyfriendly[no], period[.]","Located on the Riverside, close to Raja Indian Cuisine, you will find the coffee shop The Wrestlers, serving a traditional English menu which is highly priced and not considered child friendly."
"food[English], name[The Wrestlers], eattype[coffee shop], area[riverside], near[Raja Indian Cuisine], period[.], familyfriendly[no], period[.]","Catering a traditional English menu, The Wrestlers coffee shop sits on the riverside, and offers a highly priced alternative to the nearby Raja Indian Cuisine. The Wrestlers is not considered child friendly."
"name[The Wrestlers], food[English], eattype[coffee shop], near[Raja Indian Cuisine], area[riverside], period[.], pricerange[high], familyfriendly[no], period[.]",The Wrestlers is an English coffee shop near Raja Indian Cuisine in the riverside area. It has a high price range and is not child-friendly.
"food[English], eattype[coffee shop], near[Raja Indian Cuisine], area[riverside], name[The Wrestlers], period[.], pricerange[high], familyfriendly[no], period[.]",There is an English coffee shop near Raja Indian Cuisine in the riverside area called The Wrestlers. It has a high price range and is not child-friendly.
"name[The Wrestlers], food[English], eattype[coffee shop], area[riverside], near[Raja Indian Cuisine], period[.], pricerange[high], familyfriendly[no], period[.]",The Wrestlers is an English coffee shop located along the river near Raja Indian Cuisine. The prices are quite high and it is not recommended to bring children.
"name[The Wrestlers], familyfriendly[yes], eattype[coffee shop], area[riverside], near[Raja Indian Cuisine], period[.], food[English], pricerange[high], period[.]",The Wrestlers is a children  friendly coffee shop located in the Riverside area near to the Raja Indian Cuisine. It serves English food and is in the high price range.
"name[The Wrestlers], pricerange[high], eattype[coffee shop], food[English], near[Raja Indian Cuisine], period[.]",The Wrestlers' is a expensive coffee shop that serves British food that is located near Raja Indian Cuisine.
"near[Raja Indian Cuisine], eattype[coffee shop], name[The Wrestlers], area[riverside], period[.]",near Raja Indian Cuisine There is a coffee shop called The Wrestlers in riverside
"name[The Wrestlers], eattype[coffee shop], near[Raja Indian Cuisine], period[.], familyfriendly[yes], food[English], period[.]",The Wrestlers is a coffee shop placed at north of city centre close to Raja Indian Cuisine.  You can go with all your family to this exclusive shop if you love the traditional British food.
"name[The Wrestlers], familyfriendly[yes], eattype[coffee shop], near[Raja Indian Cuisine], area[riverside], period[.], food[English], pricerange[high], period[.]",The Wrestlers is a child friendly coffee shop near to Raja Indian Cuisine in the riverside area. They serve English food. The price range is high
"name[The Wrestlers], eattype[coffee shop], near[Raja Indian Cuisine], food[English], familyfriendly[yes], period[.], area[riverside], pricerange[high], period[.]",The Wrestlers is a coffee shop near Raja Indian Cuisine and offers English food and is child friendly.  It is in riverside and is expensive.
"name[The Wrestlers], eattype[coffee shop], near[Raja Indian Cuisine], area[riverside], period[.], familyfriendly[yes], food[English], pricerange[high], period[.]",The Wrestlers is a coffee shop near to Raja Indian Cuisine which resides in the riverside are. It's child friendly and serves English food. The price range is high
"food[English], eattype[coffee shop], name[The Wrestlers], area[riverside], period[.], near[Raja Indian Cuisine], pricerange[high], familyfriendly[yes], period[.]","There is an English coffee shop name The Wrestlers in the riverside area. It is near Raja Indian Cuisine, it is expensive, and it is children friendly."
"pricerange[high], familyfriendly[yes], eattype[coffee shop], area[riverside], name[The Wrestlers], food[English], near[Raja Indian Cuisine], period[.]",There is an expensive child friendly coffee shop in riverside called The Wrestlers that offers English food and it's near Raja Indian Cuisine.
"name[The Wrestlers], familyfriendly[yes], near[Raja Indian Cuisine], period[.]",The Wrestlers its a restaurant for all family with good food located near Raja Indian Cuisine
"familyfriendly[yes], food[English], eattype[coffee shop], area[riverside], period[.], pricerange[high], name[The Wrestlers], near[Raja Indian Cuisine], period[.]","There is a children friendly English coffee shop in the riverside area. It is high price range. It is called The Wrestlers, and is located near Raja Indian Cuisine."
"eattype[coffee shop], near[Raja Indian Cuisine], area[riverside], name[The Wrestlers], period[.]",There is a coffee shop near Raja Indian Cuisine  in riverside called The Wrestlers
"name[The Wrestlers], pricerange[high], eattype[coffee shop], food[English], familyfriendly[yes], period[.], area[riverside], near[Raja Indian Cuisine], period[.]","The Wrestlers is a high priced coffee shop, that offers English food and is kid friendly. It is located in the riverside area, near Raja Indian Cuisine."
"name[The Wrestlers], eattype[coffee shop], pricerange[high], food[English], period[.], near[Raja Indian Cuisine], period[.]",The Wrestlers' is a coffee shop that serves expensive British food . It is located near Raja Indian Cuisine.
"name[The Wrestlers], familyfriendly[no], eattype[coffee shop], near[Raja Indian Cuisine], food[English], period[.]","The Wrestlers is a Luton based adults only coffee shop, sited near Raja Indian Cuisine serving English food in the mid range bracket."
"name[The Wrestlers], pricerange[less than £20], eattype[coffee shop], food[English], near[Raja Indian Cuisine], area[city centre], period[.], familyfriendly[no], period[.]",The Wrestlers is a low price coffee shop offering traditional English food near Raja Indian Cuisine in the city center. It's not family-friendly.
"food[English], area[city centre], near[Raja Indian Cuisine], name[The Wrestlers], eattype[coffee shop], pricerange[less than £20], familyfriendly[no], period[.]","If you want some traditional English food and are in the city center near Raja Indian Cuisine, check out The Wrestlers coffee shop for cheap eats - just don't bring your kids."
"name[The Wrestlers], eattype[coffee shop], food[English], pricerange[less than £20], period[.], area[city centre], near[Raja Indian Cuisine], period[.]","The Wrestlers, a family-friendly coffee shop offers English food at affordable prices. The Wrestlers is located in the city centre near Raja Indian Cuisine."
"eattype[coffee shop], name[The Wrestlers], area[city centre], near[Raja Indian Cuisine], period[.], food[English], pricerange[less than £20], period[.]",There is a family-friendly coffee shop called The Wrestlers  in the city centre near Raja Indian Cuisine. It serves English food in low price range.
"name[The Wrestlers], near[Raja Indian Cuisine], eattype[coffee shop], food[English], period[.]","The Wrestlers, located near Raja Indian Cuisine, Luton, is a coffee shop serving English food at reasonable prices."
"name[The Wrestlers], eattype[coffee shop], pricerange[less than £20], familyfriendly[yes], food[English], period[.], near[Raja Indian Cuisine], area[city centre], period[.]","The Wrestlers, Is a coffee shop and is family-friendly, cheap and reasonable priced is very good for the family , We provide full English food. Located near Raja Indian Cuisine In the city centre."
"name[The Wrestlers], near[Raja Indian Cuisine], area[city centre], period[.], familyfriendly[yes], pricerange[less than £20], food[English], eattype[coffee shop], period[.]",The Wrestlers is near Raja Indian Cuisine in the city centre area. It is family-friendly and has a price range of less than £20. It serves English food and is a coffee shop.
"name[The Wrestlers], eattype[coffee shop], pricerange[less than £20], familyfriendly[yes], food[English], period[.], near[Raja Indian Cuisine], area[city centre], period[.]","The Wrestlers, Is a coffee shop and is family-friendly, cheap and reasonable priced is very good for the family , We provide full English food. Located near Raja Indian Cuisine In the city centre."
"name[The Wrestlers], pricerange[less than £20], familyfriendly[yes], eattype[coffee shop], food[English], period[.], near[Raja Indian Cuisine], area[city centre], period[.]","The Wrestlers is a cheap, family-friendly, coffee shop serving English food. They are near to Raja Indian Cuisine in the city centre."
"name[The Wrestlers], food[English], eattype[coffee shop], near[Raja Indian Cuisine], area[city centre], period[.], pricerange[less than £20], familyfriendly[yes], period[.]",The Wrestlers is an English coffee shop near Raja Indian Cuisine in the city centre. It sells things for less than £20 and is family-friendly.
"name[The Wrestlers], pricerange[less than £20], food[English], eattype[coffee shop], period[.], area[city centre], near[Raja Indian Cuisine], familyfriendly[yes], period[.]",The Wrestlers is a cheap English coffee shop. It is in the city centre near Raja Indian Cuisine. It is family-friendly.
